FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados
131014;2100;17;;
131014;2200;14;;
131014;2300;12;;
131015;0;12;;
131015;100;11;;
131015;200;10;;
131015;300;9;;
131015;400;8;;
131015;500;8;;
131015;600;17;;
131015;700;12;;
131015;800;12;;
131015;900;19;;
131015;1000;28;;
131015;1100;22;;
131015;1200;20;;
131015;1300;15;;
131015;1400;12;;
131015;1500;12;;
131015;1600;11;;
131015;1700;12;;
131015;1800;12;;
131015;1900;19;;
131015;2000;17;;
131015;2100;8;;
131015;2200;9;;
131015;2300;17;;
131016;0;11;;
131016;100;10;;
131016;200;11;;
131016;300;11;;
131016;400;11;;
131016;500;9;;
131016;600;9;;
131016;700;11;;
131016;800;10;;
131016;900;26;;
131016;1000;17;;
131016;1100;18;;
131016;1200;17;;
131016;1300;18;;
131016;1400;42;;
131016;1500;16;;
131016;1600;11;;
131016;1700;10;;
131016;1800;12;;
131016;1900;18;;
131016;2000;13;;
131016;2100;11;;
131016;2200;11;;
131016;2300;11;;
131017;0;11;;
131017;100;10;;
131017;200;10;;
131017;300;10;;
131017;400;7;;
131017;500;5;;
131017;600;7;;
131017;700;23;;
131017;800;22;;
131017;900;26;;
131017;1000;25;;
131017;1100;45;;
131017;1200;16;;
131017;1300;17;;
131017;1400;14;;
131017;1500;13;;
131017;1600;11;;
131017;1700;16;;
131017;1800;17;;
131017;1900;11;;
131017;2000;21;;
131017;2100;18;;
131017;2200;19;;
131017;2300;14;;
131018;0;17;;
131018;100;16;;
131018;200;17;;
131018;300;17;;
131018;400;12;;
131018;500;13;;
131018;600;16;;
131018;700;20;;
131018;800;22;;
131018;900;21;;
131018;1000;19;;
131018;1100;23;;
131018;1200;23;;
131018;1300;13;;
131018;1400;12;;
131018;1500;14;;
131018;1600;11;;
131018;1700;10;;
131018;1800;11;;
131018;1900;13;;
131018;2000;14;;
131018;2100;17;;
131018;2200;20;;
131018;2300;16;;
131019;0;13;;
131019;100;15;;
131019;200;9;;
131019;300;16;;
131019;400;17;;
131019;500;18;;
131019;600;19;;
131019;700;20;;
131019;800;22;;
131019;900;17;;
131019;1000;11;;
131019;1100;16;;
131019;1200;11;;
131019;1300;11;;
131019;1400;15;;
131019;1500;11;;
131019;1600;9;;
131019;1700;16;;
131019;1800;9;;
131019;1900;10;;
131019;2000;13;;
131019;2100;20;;
131019;2200;17;;
131019;2300;9;;
131020;0;8;;
131020;100;7;;
131020;200;4;;
131020;300;5;;
131020;400;7;;
131020;500;6;;
131020;600;5;;
131020;700;6;;
131020;800;9;;
131020;900;10;;
131020;1000;9;;
131020;1100;10;;
131020;1200;13;;
131020;1300;12;;
131020;1400;9;;
131020;1500;8;;
131020;1600;10;;
131020;1700;10;;
131020;1800;11;;
131020;1900;20;;
131020;2000;13;;
131020;2100;13;;
131020;2200;13;;
131020;2300;11;;
131021;0;29;;
131021;100;13;;
131021;200;12;;
131021;300;11;;
131021;400;12;;
131021;500;12;;
131021;600;18;;
131021;700;27;;
131021;800;22;;
131021;900;10;;
131021;1000;14;;
131021;1100;13;;
131021;1200;11;;
131021;1300;11;;
131021;1400;12;;
131021;1500;9;;
131021;1600;10;;
131021;1700;11;;
131021;1800;9;;
131021;1900;7;;
131021;2000;9;;
131021;2100;11;;
131021;2200;16;;
131021;2300;14;;
131022;0;13;;
131022;100;12;;
131022;200;11;;
131022;300;12;;
131022;400;11;;
131022;500;9;;
131022;600;11;;
131022;700;12;;
131022;800;18;;
131022;900;15;;
131022;1000;16;;
131022;1100;13;;
131022;1200;15;;
131022;1300;16;;
131022;1400;15;;
131022;1500;11;;
131022;1600;11;;
131022;1700;11;;
131022;1800;8;;
131022;1900;8;;
131022;2000;8;;
131022;2100;7;;
131022;2200;7;;
131022;2300;5;;
131023;0;5;;
131023;100;5;;
131023;200;5;;
131023;300;6;;
131023;400;7;;
131023;500;10;;
131023;600;12;;
131023;700;13;;
131023;800;11;;
131023;900;10;;
131023;1000;8;;
131023;1100;8;;
131023;1200;5;;
131023;1300;5;;
131023;1400;7;;
131023;1500;7;;
131023;1600;8;;
131023;1700;9;;
131023;1800;8;;
131023;1900;8;;
131023;2000;9;;
131023;2100;14;;
131023;2200;14;;
131023;2300;11;;
131024;0;9;;
131024;100;10;;
131024;200;8;;
131024;300;9;;
131024;400;10;;
131024;500;9;;
131024;600;8;;
131024;700;17;;
131024;800;16;;
131024;900;19;;
131024;1000;17;;
131024;1100;18;;
131024;1200;11;;
131024;1300;13;;
131024;1400;14;;
131024;1500;13;;
131024;1600;12;;
131024;1700;17;;
131024;1800;22;;
131024;1900;24;;
131024;2000;36;;
131024;2100;34;;
131024;2200;29;;
131024;2300;25;;
131025;0;18;;
131025;100;12;;
131025;200;16;;
131025;300;10;;
131025;400;10;;
131025;500;10;;
131025;600;10;;
131025;700;19;;
131025;800;17;;
131025;900;17;;
131025;1000;13;;
131025;1100;12;;
131025;1200;17;;
131025;1300;16;;
131025;1400;11;;
131025;1500;11;;
131025;1600;12;;
131025;1700;14;;
131025;1800;13;;
131025;1900;12;;
131025;2000;16;;
131025;2100;15;;
131025;2200;12;;
131025;2300;12;;
131026;0;11;;
131026;100;10;;
131026;200;10;;
131026;300;12;;
131026;400;13;;
131026;500;15;;
131026;600;19;;
131026;700;15;;
131026;800;26;;
131026;900;18;;
131026;1000;26;;
131026;1100;23;;
131026;1200;22;;
131026;1300;19;;
131026;1400;19;;
131026;1500;18;;
131026;1600;16;;
131026;1700;19;;
131026;1800;13;;
131026;1900;22;;
131026;2000;23;;
131026;2100;19;;
131026;2200;19;;
131026;2300;15;;
131027;0;13;;
131027;100;10;;
131027;200;9;;
131027;300;13;;
131027;400;11;;
131027;500;10;;
131027;600;18;;
131027;700;9;;
131027;800;19;;
131027;900;17;;
131027;1000;14;;
131027;1100;14;;
131027;1200;16;;
131027;1300;15;;
131027;1400;13;;
131027;1500;14;;
131027;1600;14;;
131027;1700;17;;
131027;1800;16;;
131027;1900;22;;
131027;2000;37;;
131027;2100;34;;
131027;2200;14;;
131027;2300;16;;
131028;0;12;;
131028;100;14;;
131028;200;13;;
131028;300;12;;
131028;400;11;;
131028;500;10;;
131028;600;16;;
131028;700;13;;
131028;800;11;;
131028;900;9;;
131028;1000;10;;
131028;1100;8;;
131028;1200;14;;
131028;1300;7;;
131028;1400;9;;
131028;1500;10;;
131028;1600;10;;
131028;1700;10;;
131028;1800;15;;
131028;1900;16;;
131028;2000;17;;
131028;2100;11;;
131028;2200;11;;
131028;2300;11;;
131029;0;13;;
131029;100;12;;
131029;200;10;;
131029;300;15;;
131029;400;8;;
131029;500;10;;
131029;600;15;;
131029;700;16;;
131029;800;25;;
131029;900;21;;
131029;1000;25;;
131029;1100;27;;
131029;1200;24;;
131029;1300;24;;
131029;1400;22;;
131029;1500;9;;
131029;1600;8;;
131029;1700;16;;
131029;1800;15;;
131029;1900;10;;
131029;2000;15;;
131029;2100;13;;
131029;2200;12;;
131029;2300;16;;
131030;0;11;;
131030;100;14;;
131030;200;11;;
131030;300;10;;
131030;400;9;;
131030;500;17;;
131030;600;16;;
131030;700;14;;
131030;800;14;;
131030;900;13;;
131030;1000;13;;
131030;1100;11;;
131030;1200;10;;
131030;1300;11;;
131030;1400;12;;
131030;1500;16;;
131030;1600;20;;
131030;1700;17;;
131030;1800;16;;
131030;1900;12;;
131030;2000;11;;
131030;2100;11;;
131030;2200;10;;
131030;2300;10;;
131031;0;11;;
131031;100;10;;
131031;200;9;;
131031;300;7;;
131031;400;9;;
131031;500;7;;
131031;600;6;;
131031;700;6;;
131031;800;8;;
131031;900;11;;
131031;1000;11;;
131031;1100;12;;
131031;1200;10;;
131031;1300;8;;
131031;1400;10;;
131031;1500;11;;
131031;1600;12;;
131031;1700;11;;
131031;1800;11;;
131031;1900;16;;
131031;2000;18;;
131031;2100;17;;
131031;2200;20;;
131031;2300;16;;
131101;0;10;;
131101;100;9;;
131101;200;8;;
131101;300;10;;
131101;400;11;;
131101;500;10;;
131101;600;12;;
131101;700;12;;
131101;800;8;;
131101;900;8;;
131101;1000;9;;
131101;1100;9;;
131101;1200;10;;
131101;1300;12;;
131101;1400;8;;
131101;1500;7;;
131101;1600;8;;
131101;1700;8;;
131101;1800;5;;
131101;1900;7;;
131101;2000;17;;
131101;2100;13;;
131101;2200;15;;
131101;2300;12;;
131102;0;18;;
131102;100;13;;
131102;200;15;;
131102;300;18;;
131102;400;11;;
131102;500;17;;
131102;600;9;;
131102;700;12;;
131102;800;14;;
131102;900;13;;
131102;1000;12;;
131102;1100;10;;
131102;1200;7;;
131102;1300;7;;
131102;1400;7;;
131102;1500;5;;
131102;1600;5;;
131102;1700;7;;
131102;1800;8;;
131102;1900;9;;
131102;2000;8;;
131102;2100;10;;
131102;2200;20;;
131102;2300;10;;
131103;0;12;;
131103;100;13;;
131103;200;12;;
131103;300;11;;
131103;400;12;;
131103;500;10;;
131103;600;9;;
131103;700;10;;
131103;800;10;;
131103;900;11;;
131103;1000;8;;
131103;1100;9;;
131103;1200;10;;
131103;1300;7;;
131103;1400;7;;
131103;1500;8;;
131103;1600;9;;
131103;1700;9;;
131103;1800;7;;
131103;1900;15;;
131103;2000;7;;
131103;2100;17;;
131103;2200;18;;
131103;2300;9;;
131104;0;11;;
131104;100;13;;
131104;200;12;;
131104;300;10;;
131104;400;11;;
131104;500;11;;
131104;600;11;;
131104;700;11;;
131104;800;19;;
131104;900;18;;
131104;1000;18;;
131104;1100;16;;
131104;1200;11;;
131104;1300;15;;
131104;1400;5;;
131104;1500;8;;
131104;1600;11;;
131104;1700;11;;
131104;1800;11;;
131104;1900;14;;
131104;2000;14;;
131104;2100;10;;
131104;2200;9;;
131104;2300;9;;
131105;0;11;;
131105;100;10;;
131105;200;8;;
131105;300;7;;
131105;400;9;;
131105;500;11;;
131105;600;22;;
131105;700;27;;
131105;800;31;;
131105;900;18;;
131105;1000;18;;
131105;1100;19;;
131105;1200;12;;
131105;1300;12;;
131105;1400;12;;
131105;1500;10;;
131105;1600;9;;
131105;1700;11;;
131105;1800;11;;
131105;1900;10;;
131105;2000;7;;
131105;2100;8;;
131105;2200;10;;
131105;2300;7;;
131106;0;5;;
131106;100;7;;
131106;200;7;;
131106;300;8;;
131106;400;7;;
131106;500;7;;
131106;600;8;;
131106;700;8;;
131106;800;9;;
131106;900;7;;
131106;1000;7;;
131106;1100;6;;
131106;1200;7;;
131106;1300;8;;
131106;1400;9;;
131106;1500;5;;
131106;1600;;;
131106;1700;1;;
131106;1800;1;;
131106;1900;1;;
131106;2000;6;;
131106;2100;5;;
131106;2200;2;;
131106;2300;7;;
131107;0;8;;
131107;100;6;;
131107;200;6;;
131107;300;5;;
131107;400;5;;
131107;500;7;;
131107;600;9;;
131107;700;9;;
131107;800;8;;
131107;900;16;;
131107;1000;11;;
131107;1100;10;;
131107;1200;7;;
131107;1300;6;;
131107;1400;6;;
131107;1500;5;;
131107;1600;5;;
131107;1700;5;;
131107;1800;8;;
131107;1900;8;;
131107;2000;8;;
131107;2100;17;;
131107;2200;10;;
131107;2300;10;;
131108;0;9;;
131108;100;7;;
131108;200;7;;
131108;300;7;;
131108;400;4;;
131108;500;3;;
131108;600;6;;
131108;700;9;;
131108;800;8;;
131108;900;6;;
131108;1000;5;;
131108;1100;7;;
131108;1200;6;;
131108;1300;6;;
131108;1400;7;;
131108;1500;4;;
131108;1600;3;;
131108;1700;3;;
131108;1800;3;;
131108;1900;5;;
131108;2000;6;;
131108;2100;7;;
131108;2200;4;;
131108;2300;7;;
131109;0;11;;
131109;100;10;;
131109;200;7;;
131109;300;7;;
131109;400;7;;
131109;500;4;;
131109;600;6;;
131109;700;7;;
131109;800;7;;
131109;900;6;;
131109;1000;7;;
131109;1100;7;;
131109;1200;7;;
131109;1300;6;;
131109;1400;6;;
131109;1500;7;;
131109;1600;6;;
131109;1700;9;;
131109;1800;9;;
131109;1900;7;;
131109;2000;7;;
131109;2100;7;;
131109;2200;8;;
131109;2300;6;;
131110;0;5;;
131110;100;3;;
131110;200;1;;
131110;300;3;;
131110;400;4;;
131110;500;4;;
131110;600;6;;
131110;700;6;;
131110;800;3;;
131110;900;5;;
131110;1000;5;;
131110;1100;4;;
131110;1200;6;;
131110;1300;4;;
131110;1400;2;;
131110;1500;3;;
131110;1600;5;;
131110;1700;5;;
131110;1800;7;;
131110;1900;5;;
131110;2000;6;;
131110;2100;7;;
131110;2200;;;980
131110;2300;;;
131111;0;;;
131111;100;;;
131111;200;;;
131111;300;;;
131111;400;;;
131111;500;;;
131111;600;;;
131111;700;;;
131111;800;;;
131111;900;;;
131111;1000;;;
131111;1100;;;
131111;1200;8;;
131111;1300;7;;
131111;1400;8;;
131111;1500;7;;
131111;1600;4;;
131111;1700;4;;
131111;1800;5;;
131111;1900;6;;
131111;2000;23;;
131111;2100;13;;
131111;2200;8;;
131111;2300;3;;
131112;0;4;;
131112;100;4;;
131112;200;4;;
131112;300;3;;
131112;400;3;;
131112;500;6;;
131112;600;6;;
131112;700;14;;
131112;800;13;;
131112;900;13;;
131112;1000;12;;
131112;1100;11;;
131112;1200;9;;
131112;1300;8;;
131112;1400;7;;
131112;1500;5;;
131112;1600;7;;
131112;1700;7;;
131112;1800;4;;
131112;1900;7;;
131112;2000;12;;
131112;2100;14;;
131112;2200;11;;
131112;2300;11;;
131113;0;15;;
131113;100;7;;
131113;200;6;;
131113;300;8;;
131113;400;15;;
131113;500;13;;
131113;600;8;;
131113;700;8;;
131113;800;10;;
131113;900;11;;
131113;1000;13;;
131113;1100;9;;
131113;1200;6;;
131113;1300;6;;
131113;1400;19;;
131113;1500;11;;
131113;1600;9;;
131113;1700;5;;
131113;1800;3;;
131113;1900;3;;
131113;2000;2;;
131113;2100;4;;
131113;2200;7;;
131113;2300;7;;
131114;0;3;;
131114;100;1;;
131114;200;1;;
131114;300;1;;
131114;400;1;;
131114;500;2;;
131114;600;3;;
131114;700;4;;
131114;800;4;;
131114;900;3;;
131114;1000;3;;
131114;1100;3;;
131114;1200;3;;
131114;1300;3;;
131114;1400;2;;
131114;1500;1;;
131114;1600;2;;
131114;1700;5;;
131114;1800;4;;
131114;1900;3;;
131114;2000;7;;
131114;2100;8;;
131114;2200;6;;
131114;2300;3;;
131115;0;3;;
131115;100;3;;
131115;200;6;;
131115;300;5;;
131115;400;3;;
131115;500;3;;
131115;600;3;;
131115;700;6;;
131115;800;8;;
131115;900;8;;
131115;1000;6;;
131115;1100;4;;
131115;1200;2;;
131115;1300;2;;
131115;1400;4;;
131115;1500;4;;
131115;1600;5;;
131115;1700;9;;
131115;1800;8;;
131115;1900;9;;
131115;2000;10;;
131115;2100;8;;
131115;2200;8;;
131115;2300;7;;
131116;0;7;;
131116;100;7;;
131116;200;5;;
131116;300;6;;
131116;400;4;;
131116;500;3;;
131116;600;5;;
131116;700;6;;
131116;800;6;;
131116;900;9;;
131116;1000;11;;
131116;1100;12;;
131116;1200;13;;
131116;1300;10;;
131116;1400;10;;
131116;1500;9;;
131116;1600;6;;
131116;1700;6;;
131116;1800;8;;
131116;1900;9;;
131116;2000;9;;
131116;2100;28;;
131116;2200;16;;
131116;2300;18;;
131117;0;12;;
131117;100;11;;
131117;200;10;;
131117;300;9;;
131117;400;11;;
131117;500;9;;
131117;600;9;;
131117;700;10;;
131117;800;14;;
131117;900;14;;
131117;1000;9;;
131117;1100;15;;
131117;1200;13;;
131117;1300;13;;
131117;1400;13;;
131117;1500;11;;
131117;1600;10;;
131117;1700;11;;
131117;1800;11;;
131117;1900;10;;
131117;2000;6;;
131117;2100;5;;
131117;2200;7;;
131117;2300;5;;
131118;0;4;;
131118;100;5;;
131118;200;4;;
131118;300;3;;
131118;400;4;;
131118;500;7;;
131118;600;9;;
131118;700;10;;
131118;800;9;;
131118;900;9;;
131118;1000;9;;
131118;1100;8;;
131118;1200;9;;
131118;1300;;;
131118;1400;8;;
131118;1500;9;;
131118;1600;9;;
131118;1700;9;;
131118;1800;10;;
131118;1900;8;;
131118;2000;10;;
131118;2100;13;;
131118;2200;13;;
131118;2300;10;;
131119;0;9;;
131119;100;12;;
131119;200;12;;
131119;300;12;;
131119;400;9;;
131119;500;7;;
131119;600;7;;
131119;700;11;;
131119;800;11;;
131119;900;9;;
131119;1000;9;;
131119;1100;11;;
131119;1200;12;;
131119;1300;8;;
131119;1400;4;;
131119;1500;3;;
131119;1600;5;;
131119;1700;8;;
131119;1800;11;;
131119;1900;12;;
131119;2000;12;;
131119;2100;15;;
131119;2200;11;;
131119;2300;10;;
131120;0;11;;
131120;100;12;;
131120;200;21;;
131120;300;6;;
131120;400;27;;
131120;500;22;;
131120;600;10;;
131120;700;12;;
131120;800;17;;
131120;900;17;;
131120;1000;20;;
131120;1100;10;;
131120;1200;8;;
131120;1300;6;;
131120;1400;10;;
131120;1500;19;;
131120;1600;21;;
131120;1700;21;;
131120;1800;13;;
131120;1900;18;;
131120;2000;11;;
131120;2100;11;;
131120;2200;17;;
131120;2300;10;;
131121;0;11;;
131121;100;13;;
131121;200;13;;
131121;300;14;;
131121;400;17;;
131121;500;18;;
131121;600;24;;
131121;700;19;;
131121;800;16;;
131121;900;18;;
131121;1000;16;;
131121;1100;14;;
131121;1200;12;;
131121;1300;9;;
131121;1400;8;;
131121;1500;8;;
131121;1600;8;;
131121;1700;9;;
131121;1800;11;;
131121;1900;11;;
131121;2000;12;;
131121;2100;11;;
131121;2200;10;;
131121;2300;11;;
131122;0;11;;
131122;100;7;;
131122;200;5;;
131122;300;7;;
131122;400;9;;
131122;500;8;;
131122;600;10;;
131122;700;11;;
131122;800;20;;
131122;900;11;;
131122;1000;15;;
131122;1100;16;;
131122;1200;16;;
131122;1300;11;;
131122;1400;12;;
131122;1500;12;;
131122;1600;11;;
131122;1700;11;;
131122;1800;11;;
131122;1900;12;;
131122;2000;17;;
131122;2100;16;;
131122;2200;11;;
131122;2300;12;;
131123;0;14;;
131123;100;11;;
131123;200;12;;
131123;300;10;;
131123;400;8;;
131123;500;11;;
131123;600;11;;
131123;700;11;;
131123;800;11;;
131123;900;16;;
131123;1000;15;;
131123;1100;10;;
131123;1200;12;;
131123;1300;13;;
131123;1400;9;;
131123;1500;7;;
131123;1600;6;;
131123;1700;7;;
131123;1800;9;;
131123;1900;9;;
131123;2000;9;;
131123;2100;18;;
131123;2200;9;;
131123;2300;10;;
131124;0;6;;
131124;100;3;;
131124;200;4;;
131124;300;4;;
131124;400;3;;
131124;500;3;;
131124;600;7;;
131124;700;8;;
131124;800;7;;
131124;900;7;;
131124;1000;7;;
131124;1100;7;;
131124;1200;6;;
131124;1300;4;;
131124;1400;3;;
131124;1500;3;;
131124;1600;3;;
131124;1700;5;;
131124;1800;5;;
131124;1900;4;;
131124;2000;5;;
131124;2100;8;;
131124;2200;8;;
131124;2300;6;;
131125;0;6;;
131125;100;5;;
131125;200;3;;
131125;300;2;;
131125;400;3;;
131125;500;3;;
131125;600;3;;
131125;700;3;;
131125;800;3;;
131125;900;5;;
131125;1000;5;;
131125;1100;3;;
131125;1200;3;;
131125;1300;3;;
131125;1400;3;;
131125;1500;3;;
131125;1600;6;;
131125;1700;7;;
131125;1800;6;;
131125;1900;7;;
131125;2000;6;;
131125;2100;4;;
131125;2200;3;;
131125;2300;4;;
131126;0;3;;
131126;100;6;;
131126;200;9;;
131126;300;5;;
131126;400;3;;
131126;500;4;;
131126;600;7;;
131126;700;8;;
131126;800;7;;
131126;900;6;;
131126;1000;6;;
131126;1100;6;;
131126;1200;6;;
131126;1300;8;;
131126;1400;8;;
131126;1500;5;;
131126;1600;;;955
131126;1700;;;
131126;1800;6;;
131126;1900;7;;
131126;2000;9;;
131126;2100;11;;
131126;2200;8;;
131126;2300;5;;
131127;0;6;;
131127;100;6;;
131127;200;9;;
131127;300;8;;
131127;400;3;;
131127;500;19;;
131127;600;17;;
131127;700;15;;
131127;800;18;;
131127;900;15;;
131127;1000;9;;
131127;1100;11;;
131127;1200;12;;
131127;1300;11;;
131127;1400;9;;
131127;1500;7;;
131127;1600;5;;
131127;1700;7;;
131127;1800;11;;
131127;1900;10;;
131127;2000;9;;
131127;2100;14;;
131127;2200;9;;
131127;2300;8;;
131128;0;37;;
131128;100;13;;
131128;200;9;;
131128;300;9;;
131128;400;9;;
131128;500;6;;
131128;600;6;;
131128;700;7;;
131128;800;5;;
131128;900;8;;
131128;1000;11;;
131128;1100;10;;
131128;1200;8;;
131128;1300;4;;
131128;1400;3;;
131128;1500;5;;
131128;1600;6;;
131128;1700;4;;
131128;1800;4;;
131128;1900;7;;
131128;2000;7;;
131128;2100;11;;
131128;2200;10;;
131128;2300;9;;
131129;0;11;;
131129;100;10;;
131129;200;9;;
131129;300;7;;
131129;400;6;;
131129;500;8;;
131129;600;9;;
131129;700;9;;
131129;800;9;;
131129;900;10;;
131129;1000;11;;
131129;1100;14;;
131129;1200;10;;
131129;1300;9;;
131129;1400;7;;
131129;1500;16;;
131129;1600;17;;
131129;1700;22;;
131129;1800;10;;
131129;1900;9;;
131129;2000;7;;
131129;2100;8;;
131129;2200;9;;
131129;2300;6;;
131130;0;5;;
131130;100;7;;
131130;200;9;;
131130;300;9;;
131130;400;10;;
131130;500;9;;
131130;600;8;;
131130;700;8;;
131130;800;8;;
131130;900;15;;
131130;1000;13;;
131130;1100;12;;
131130;1200;9;;
131130;1300;8;;
131130;1400;9;;
131130;1500;6;;
131130;1600;6;;
131130;1700;6;;
131130;1800;5;;
131130;1900;7;;
131130;2000;7;;
131130;2100;8;;
131130;2200;10;;
131130;2300;9;;
131201;0;7;;
131201;100;6;;
131201;200;4;;
131201;300;3;;
131201;400;4;;
131201;500;7;;
131201;600;9;;
131201;700;9;;
131201;800;9;;
131201;900;10;;
131201;1000;15;;
131201;1100;14;;
131201;1200;12;;
131201;1300;10;;
131201;1400;8;;
131201;1500;9;;
131201;1600;7;;
131201;1700;3;;
131201;1800;5;;
131201;1900;4;;
131201;2000;3;;
131201;2100;6;;
131201;2200;6;;
131201;2300;3;;
131202;0;3;;
131202;100;2;;
131202;200;5;;
131202;300;6;;
131202;400;3;;
131202;500;4;;
131202;600;5;;
131202;700;6;;
131202;800;7;;
131202;900;11;;
131202;1000;13;;
131202;1100;12;;
131202;1200;14;;
131202;1300;9;;
131202;1400;10;;
131202;1500;7;;
131202;1600;7;;
131202;1700;7;;
131202;1800;3;;
131202;1900;4;;
131202;2000;3;;
131202;2100;1;;
131202;2200;1;;
131202;2300;2;;
131203;0;2;;
131203;100;1;;
131203;200;1;;
131203;300;5;;
131203;400;5;;
131203;500;5;;
131203;600;5;;
131203;700;6;;
131203;800;7;;
131203;900;7;;
131203;1000;8;;
131203;1100;7;;
131203;1200;7;;
131203;1300;8;;
131203;1400;7;;
131203;1500;7;;
131203;1600;7;;
131203;1700;8;;
131203;1800;8;;
131203;1900;6;;
131203;2000;6;;
131203;2100;6;;
131203;2200;5;;
131203;2300;6;;
131204;0;4;;
131204;100;3;;
131204;200;3;;
131204;300;4;;
131204;400;2;;
131204;500;4;;
131204;600;5;;
131204;700;5;;
131204;800;7;;
131204;900;8;;
131204;1000;11;;
131204;1100;10;;
131204;1200;7;;
131204;1300;7;;
131204;1400;9;;
131204;1500;7;;
131204;1600;6;;
131204;1700;6;;
131204;1800;5;;
131204;1900;5;;
131204;2000;4;;
131204;2100;3;;
131204;2200;2;;
131204;2300;3;;
131205;0;4;;
131205;100;5;;
131205;200;6;;
131205;300;5;;
131205;400;6;;
131205;500;6;;
131205;600;4;;
131205;700;5;;
131205;800;8;;
131205;900;16;;
131205;1000;12;;
131205;1100;12;;
131205;1200;11;;
131205;1300;8;;
131205;1400;8;;
131205;1500;7;;
131205;1600;3;;
131205;1700;1;;
131205;1800;3;;
131205;1900;2;;
131205;2000;1;;
131205;2100;1;;
131205;2200;1;;
131205;2300;1;;
131206;0;17;;
131206;100;5;;
131206;200;5;;
131206;300;6;;
131206;400;7;;
131206;500;6;;
131206;600;8;;
131206;700;11;;
131206;800;13;;
131206;900;20;;
131206;1000;20;;
131206;1100;14;;
131206;1200;12;;
131206;1300;10;;
131206;1400;;;957
131206;1500;;;
131206;1600;;;73
131206;1700;;;957
131206;1800;6;;
131206;1900;6;;
131206;2000;8;;
131206;2100;8;;
131206;2200;6;;
131206;2300;8;;
131207;0;8;;
131207;100;7;;
131207;200;9;;
131207;300;9;;
131207;400;9;;
131207;500;9;;
131207;600;8;;
131207;700;12;;
131207;800;10;;
131207;900;9;;
131207;1000;10;;
131207;1100;8;;
131207;1200;7;;
131207;1300;8;;
131207;1400;7;;
131207;1500;7;;
131207;1600;6;;
131207;1700;6;;
131207;1800;8;;
131207;1900;7;;
131207;2000;6;;
131207;2100;4;;
131207;2200;5;;
131207;2300;5;;
131208;0;4;;
131208;100;4;;
131208;200;4;;
131208;300;4;;
131208;400;3;;
131208;500;5;;
131208;600;7;;
131208;700;6;;
131208;800;5;;
131208;900;4;;
131208;1000;5;;
131208;1100;6;;
131208;1200;7;;
131208;1300;5;;
131208;1400;6;;
131208;1500;4;;
131208;1600;3;;
131208;1700;3;;
131208;1800;3;;
131208;1900;3;;
131208;2000;4;;
131208;2100;4;;
131208;2200;3;;
131208;2300;1;;
131209;0;1;;
131209;100;3;;
131209;200;5;;
131209;300;4;;
131209;400;2;;
131209;500;4;;
131209;600;7;;
131209;700;5;;
131209;800;4;;
131209;900;3;;
131209;1000;6;;
131209;1100;8;;
131209;1200;6;;
131209;1300;7;;
131209;1400;8;;
131209;1500;5;;
131209;1600;3;;
131209;1700;4;;
131209;1800;6;;
131209;1900;5;;
131209;2000;17;;
131209;2100;11;;
131209;2200;11;;
131209;2300;12;;
131210;0;15;;
131210;100;15;;
131210;200;11;;
131210;300;9;;
131210;400;9;;
131210;500;8;;
131210;600;7;;
131210;700;8;;
131210;800;11;;
131210;900;14;;
131210;1000;;;954
131210;1100;6;;
131210;1200;7;;
131210;1300;8;;
131210;1400;8;;
131210;1500;9;;
131210;1600;7;;
131210;1700;6;;
131210;1800;8;;
131210;1900;8;;
131210;2000;8;;
131210;2100;9;;
131210;2200;26;;
131210;2300;24;;
131211;0;19;;
131211;100;9;;
131211;200;11;;
131211;300;10;;
131211;400;7;;
131211;500;7;;
131211;600;14;;
131211;700;9;;
131211;800;11;;
131211;900;12;;
131211;1000;11;;
131211;1100;12;;
131211;1200;11;;
131211;1300;9;;
131211;1400;9;;
131211;1500;8;;
131211;1600;6;;
131211;1700;8;;
131211;1800;9;;
131211;1900;7;;
131211;2000;9;;
131211;2100;12;;
131211;2200;11;;
131211;2300;7;;
131212;0;6;;
131212;100;9;;
131212;200;10;;
131212;300;7;;
131212;400;7;;
131212;500;6;;
131212;600;5;;
131212;700;7;;
131212;800;9;;
131212;900;8;;
131212;1000;10;;
131212;1100;11;;
131212;1200;9;;
131212;1300;7;;
131212;1400;7;;
131212;1500;9;;
131212;1600;8;;
131212;1700;8;;
131212;1800;12;;
131212;1900;13;;
131212;2000;12;;
131212;2100;12;;
131212;2200;11;;
131212;2300;11;;
131213;0;12;;
131213;100;12;;
131213;200;11;;
131213;300;10;;
131213;400;10;;
131213;500;11;;
131213;600;13;;
131213;700;14;;
131213;800;17;;
131213;900;14;;
131213;1000;15;;
131213;1100;11;;
131213;1200;13;;
131213;1300;12;;
131213;1400;10;;
131213;1500;10;;
131213;1600;10;;
131213;1700;12;;
131213;1800;13;;
131213;1900;11;;
131213;2000;15;;
131213;2100;17;;
131213;2200;14;;
131213;2300;12;;
131214;0;11;;
131214;100;9;;
131214;200;16;;
131214;300;12;;
131214;400;10;;
131214;500;16;;
131214;600;20;;
131214;700;15;;
131214;800;13;;
131214;900;12;;
131214;1000;10;;
131214;1100;19;;
131214;1200;11;;
131214;1300;9;;
131214;1400;9;;
